Cuenta;Nombre;Naturaleza;Tercero;Auxiliar;C. Costo
171048;ELEMENTOS DE ASEO Y CAFETERIA           ;D;S;S;N
171095;OTROS                                   ;D;S;S;N
171099;AJUSTES POR INFLACION                   ;D;S;S;N
18;OTROS ACTIVOS                           ;D;S;N;N
1895;DIVERSOS                                ;D;S;N;N
189560;ELEMENTOS DE ROPERIA Y LENCERIA         ;D;S;S;N
189595;OTROS                                   ;D;S;S;N
189599;AJUSTES POR INFLACION                   ;D;S;S;N
19;VALORIZACIONES                          ;D;S;N;N
1910;DE PROPIEDADES                          ;D;S;N;N
191008;CONSTRUCCIONES Y EDIFICACIONES          ;D;S;S;N
2;PASIVO                                  ;C;S;N;N
21;OBLIGACIONES FINANCIERAS                ;C;S;N;N
2105;BANCOS NACIONALES                       ;C;S;N;N
210510;PAGARES                                 ;C;S;N;N
210515;PARTICULARES                            ;C;S;N;N
22;PROVEEDORES                             ;C;S;N;N
2205;NACIONALES                              ;C;S;N;N
220501;PROVEEDORES NACIONALES                  ;C;S;S;N
23;CUENTAS POR PAGAR                       ;C;S;N;N
2335;COSTOS Y GASTOS POR PAGAR               ;C;S;N;N
233505;COSTOS Y GASTOS POR PAGAR               ;C;S;S;N
233510;LEGALES                                 ;C;S;S;N
233515;LIBROS,SUSCRIPCIONES,PERIODICOS Y RVISTA;C;S;S;N
233520;COMISIONES                              ;C;S;S;S
233525;HONORARIOS                              ;C;S;S;N
233530;SERVICIOS TECNICOS                      ;C;S;S;N
233535;SERVICIOS DE MANTENIMIENTO              ;C;S;S;N
233540;ARRENDAMIENTOS                          ;C;S;S;N
233545;TRANSPORTES FLETES Y ACARREOS           ;C;S;S;N
233550;SERVICIOS PUBLICOS                      ;C;S;S;N
233555;SEGUROS                                 ;C;S;S;N
233560;SERVICIOS DE ASEO Y LIMPIEZA            ;C;S;S;N
233565;RELACIONES PUBLICAS Y/O GTOS REPRESENT. ;C;S;S;N
233570;SERVICIO DE MAQUILA                     ;C;S;S;N
233595;OTROS                                   ;C;S;S;N
2345;ACREEDORES OFICIALES                    ;C;S;N;N
234515;MUNICIPALES                             ;C;S;S;N
2355;DEUDAS CON ACCIONISTAS O SOCIOS         ;C;S;N;N
235510;SOCIOS                                  ;C;S;S;N
2357;DEUDAS CON DIRECTOS                     ;C;S;N;N
2360;DIVIDENDOS O PARTICIPACIONES POR PAGAR  ;C;S;N;N
236010;PARTICIPACIONES                         ;C;S;N;N
2365;RETENCION EN LA FUENTE                  ;C;S;N;N
236505;INGRESOS LABORALES                      ;C;N;N;N
23650501;RETENCION POR SALARIOS                  ;C;S;S;S
236515;HONORARIOS                              ;C;S;N;N
23651501;HONORARIOS DECLARANTES 11%              ;C;S;S;N
23651502;HONORARIOS NO DECLARANTES 10%           ;C;S;S;N
236520;COMISIONES                              ;C;S;N;N
23652001;COMISIONES DECLARANTES 11%              ;C;S;S;N
23652002;COMISIONES NO DECLARANTES 10%           ;C;S;S;N
236525;SERVICIOS                               ;C;S;N;N
23652501;SERVICIOS DECLARANTES 4%                ;C;S;S;N
23652502;SERVICIOS NO DECLARANTES 6%             ;C;S;S;N
23652503;FLETES Y ACARREOS 1%                    ;C;S;S;N
23652504;SERVICIOS TEMPORALES 2%                 ;C;S;S;N
23652505;SERVICIO X CONTRATO DE CONSTRUCCION Y OB;C;S;S;N
23652506;PUENTE                                  ;C;S;S;N
23652507;SERVICIO X DISE�O PAGINA WEB            ;C;S;S;N
236530;ARRENDAMIENTOS                          ;C;S;N;N
23653001;ARRENDAMIENTOS DE BIENES MUEBLES 4%     ;C;S;S;N
23653002;ARRENDAMIENTO DE BIENES INMUEBLES 3.5%  ;C;S;S;N
236535;INTERESES Y R.F                         ;C;S;N;N
