Cuenta;Nombre;Naturaleza;Cta Mayor;Cta Activa;Nivel;Tercero;Auxiliar;C. Costo
170505;INTERESES                               ;D;1705;S;3;S;S;N
170520;SEGUROS Y FIANZAS                       ;D;1705;S;3;S;S;N
170595;OTROS                                   ;D;1705;S;0;S;S;N
1710;CARGOS DIFERIDOS                        ;D;17;S;2;S;N;N
171016;PROGRAMAS PARA COMPUTADORES(SOFTWARE)   ;D;1710;S;3;S;S;N
171020;UTILES Y PAPELERIA                      ;D;1710;S;3;S;S;N
171048;ELEMENTOS DE ASEO Y CAFETERIA           ;D;1710;S;3;S;S;N
171095;OTROS                                   ;D;1710;S;3;S;S;N
171099;AJUSTES POR INFLACION                   ;D;1710;S;3;S;S;N
18;OTROS ACTIVOS                           ;D;1;S;1;S;N;N
1895;DIVERSOS                                ;D;18;S;2;S;N;N
189560;ELEMENTOS DE ROPERIA Y LENCERIA         ;D;1895;S;3;S;S;N
189595;OTROS                                   ;D;1895;S;3;S;S;N
189599;AJUSTES POR INFLACION                   ;D;1895;S;3;S;S;N
19;VALORIZACIONES                          ;D;1;S;0;S;N;N
1910;DE PROPIEDADES                          ;D;19;S;0;S;N;N
191008;CONSTRUCCIONES Y EDIFICACIONES          ;D;1910;S;0;S;S;N
2;PASIVO                                  ;C;              ;S;0;S;N;N
21;OBLIGACIONES FINANCIERAS                ;C;2;S;1;S;N;N
2105;NACIONALES                              ;C;21;S;2;S;N;N
210510;PAGARES                                 ;C;2105;S;3;S;N;N
21051001;DAVIVIENDA CREDITO 1                    ;C;210510;S;4;S;S;S
21051002;BANCOLOMBIA ROTATIVO                    ;C;210510;S;0;S;S;N
21051003;DAVIVIENDA CREDITO #4029                ;C;210510;S;4;S;S;S
21051004;DAVIVIENDA CREDITO 220314               ;C;210510;S;4;S;S;N
21051005;CREDITO DAVIVIENDA #  228168            ;C;210510;S;4;S;S;N
21051006; CREDITO DAVIVIENDA #1732               ;C;210510;S;4;S;S;N
21051007;CREDITO DAVIVIENDA #0054                ;C;210510;S;4;S;S;N
210515;PARTICULARES                            ;C;2105;S;3;S;S;N
22;PROVEEDORES                             ;C;2;S;1;S;N;N
2205;NACIONALES                              ;C;22;S;2;S;N;N
220501;PROVEEDORES NACIONALES                  ;C;2205;S;3;S;S;S
23;CUENTAS POR PAGAR                       ;C;2;S;1;S;N;N
2335;COSTOS Y GASTOS POR PAGAR               ;C;23;S;2;S;N;N
233505;COSTOS Y GASTOS POR PAGAR               ;C;2335;S;0;S;S;N
233510;LEGALES                                 ;C;2335;S;3;S;S;N
233515;LIBROS,SUSCRIPCIONES,PERIODICOS Y RVISTA;C;2335;S;3;S;S;N
233520;COMISIONES                              ;C;2335;S;3;S;S;S
233525;HONORARIOS                              ;C;2335;S;3;S;S;N
233530;SERVICIOS TECNICOS                      ;C;2335;S;3;S;S;N
233535;SERVICIOS DE MANTENIMIENTO              ;C;2335;S;3;S;S;N
233540;ARRENDAMIENTOS                          ;C;2335;S;3;S;S;N
233545;TRANSPORTES FLETES Y ACARREOS           ;C;2335;S;3;S;S;N
233550;SERVICIOS PUBLICOS                      ;C;2335;S;3;S;S;N
233555;SEGUROS                                 ;C;2335;S;3;S;S;N
233560;SERVICIOS DE ASEO Y LIMPIEZA            ;C;2335;S;3;S;S;N
233565;RELACIONES PUBLICAS Y/O GTOS REPRESENT. ;C;2335;S;3;S;S;N
233570;SERVICIO DE MAQUILA                     ;C;2335;S;3;S;S;N
233595;OTROS                                   ;C;2335;S;3;S;S;N
2345;ACREEDORES OFICIALES                    ;C;23;S;0;S;N;N
234515;MUNICIPALES                             ;C;2345;S;0;S;S;N
2355;DEUDAS CON ACCIONISTAS O SOCIOS         ;C;23;S;2;S;N;N
235510;SOCIOS                                  ;C;2355;S;3;S;S;N
